"Name","Confidence","ID","Creator"
"Indoors",74.8475112915039,2,"AustrianStartups"
"Dating",66.4281158447266,2,"AustrianStartups"
"Paper",58.3040237426758,2,"AustrianStartups"
"Shelf",57.0893783569336,2,"AustrianStartups"
"Female",56.5994071960449,2,"AustrianStartups"
"Person",99.6476745605469,20,"AustrianStartups"
"Audience",98.9397277832031,20,"AustrianStartups"
"Crowd",98.9397277832031,20,"AustrianStartups"
"Screen",98.2687377929688,20,"AustrianStartups"
"Projection Screen",96.7317581176758,20,"AustrianStartups"
"Classroom",95.8428726196289,20,"AustrianStartups"
"Indoors",95.8428726196289,20,"AustrianStartups"
"Room",95.8428726196289,20,"AustrianStartups"
"Lecture",94.0639038085938,20,"AustrianStartups"
"Speech",94.0639038085938,20,"AustrianStartups"
"Smile",99.7881011962891,22,"AustrianStartups"
"Face",99.7881011962891,22,"AustrianStartups"
"Person",99.7881011962891,22,"AustrianStartups"
"Female",96.3338394165039,22,"AustrianStartups"
"Clothing",88.328125,22,"AustrianStartups"
"Woman",87.2874145507812,22,"AustrianStartups"
"Nurse",79.9341278076172,22,"AustrianStartups"
"Sleeve",71.1901321411133,22,"AustrianStartups"
"Doctor",69.8881988525391,22,"AustrianStartups"
"Girl",67.7422027587891,22,"AustrianStartups"
"Face",99.6725997924805,23,"AustrianStartups"
"Person",99.6725997924805,23,"AustrianStartups"
"Sunglasses",97.7190704345703,23,"AustrianStartups"
"Accessories",97.7190704345703,23,"AustrianStartups"
"Man",86.5581359863281,23,"AustrianStartups"
"Dimples",64.88525390625,23,"AustrianStartups"
"Beard",60.1988983154297,23,"AustrianStartups"
"Portrait",60.0213470458984,23,"AustrianStartups"
"Smile",57.3131294250488,23,"AustrianStartups"
"Dating",56.6717758178711,23,"AustrianStartups"
"Person",98.0109024047852,24,"AustrianStartups"
"Human",98.0109024047852,24,"AustrianStartups"
"White Board",97.9838714599609,24,"AustrianStartups"
"Face",63.3742141723633,24,"AustrianStartups"
"Man",58.4218559265137,24,"AustrianStartups"
"Teacher",55.4027900695801,24,"AustrianStartups"
"Blonde",100,25,"AustrianStartups"
"Female",100,25,"AustrianStartups"
"Teen",100,25,"AustrianStartups"
"Person",100,25,"AustrianStartups"
"Woman",100,25,"AustrianStartups"
"Girl",100,25,"AustrianStartups"
"Kid",100,25,"AustrianStartups"
"Face",99.5018463134766,25,"AustrianStartups"
"Smile",99.2516250610352,25,"AustrianStartups"
"Hair",76.3839340209961,25,"AustrianStartups"
"Face",99.9583282470703,26,"AustrianStartups"
"Person",99.9583282470703,26,"AustrianStartups"
"Man",90.0802612304688,26,"AustrianStartups"
"Beard",83.9397277832031,26,"AustrianStartups"
"Hair",70.1740417480469,26,"AustrianStartups"
"Dimples",65.6505889892578,26,"AustrianStartups"
"Portrait",62.1628913879395,26,"AustrianStartups"
"Photography",62.1628913879395,26,"AustrianStartups"
"Smile",57.5463676452637,26,"AustrianStartups"
"Head",55.3961906433105,26,"AustrianStartups"
"Person",98.4658355712891,27,"AustrianStartups"
"Suit",98.087028503418,27,"AustrianStartups"
"Clothing",98.087028503418,27,"AustrianStartups"
"Overcoat",98.087028503418,27,"AustrianStartups"
"Coat",98.087028503418,27,"AustrianStartups"
"Face",96.6258850097656,27,"AustrianStartups"
"Man",95.8102416992188,27,"AustrianStartups"
"Hair",74.9906463623047,27,"AustrianStartups"
"Head",71.775749206543,27,"AustrianStartups"
"Smile",69.7871398925781,27,"AustrianStartups"
"Face",99.843017578125,28,"AustrianStartups"
"Person",99.843017578125,28,"AustrianStartups"
"Human",99.843017578125,28,"AustrianStartups"
"Man",95.3860244750977,28,"AustrianStartups"
"Beard",85.7846450805664,28,"AustrianStartups"
"Map",96.361686706543,3,"AustrianStartups"
"Diagram",96.361686706543,3,"AustrianStartups"
"Atlas",91.5814514160156,3,"AustrianStartups"
"Plot",91.5814514160156,3,"AustrianStartups"
"Female",99.649169921875,30,"AustrianStartups"
"Person",99.649169921875,30,"AustrianStartups"
"Human",99.649169921875,30,"AustrianStartups"
"Blonde",99.621467590332,30,"AustrianStartups"
"Kid",99.621467590332,30,"AustrianStartups"
"Child",99.621467590332,30,"AustrianStartups"
"Woman",99.621467590332,30,"AustrianStartups"
"Girl",99.621467590332,30,"AustrianStartups"
"Teen",99.621467590332,30,"AustrianStartups"
"Face",57.053409576416,30,"AustrianStartups"
"Female",96.6941986083984,31,"AustrianStartups"
"Person",96.6941986083984,31,"AustrianStartups"
"Human",96.6941986083984,31,"AustrianStartups"
"Pendant",95.4727325439453,31,"AustrianStartups"
"Face",92.7403259277344,31,"AustrianStartups"
"Woman",83.2599868774414,31,"AustrianStartups"
"Girl",73.9427261352539,31,"AustrianStartups"
"Dimples",56.7599487304688,31,"AustrianStartups"
"Person",99.6509475708008,32,"AustrianStartups"
"Human",99.6509475708008,32,"AustrianStartups"
"Poster",98.2652893066406,32,"AustrianStartups"
"Advertisement",98.2652893066406,32,"AustrianStartups"
"Text",94.5725860595703,32,"AustrianStartups"
"Collage",93.9706954956055,32,"AustrianStartups"
"Id Cards",87.6846542358398,32,"AustrianStartups"
"Document",87.6846542358398,32,"AustrianStartups"
"Flyer",77.9958648681641,32,"AustrianStartups"
"Paper",77.9958648681641,32,"AustrianStartups"
"Person",99.717399597168,33,"AustrianStartups"
"Text",99.2908096313477,33,"AustrianStartups"
"Id Cards",95.869873046875,33,"AustrianStartups"
"Document",95.869873046875,33,"AustrianStartups"
"Poster",84.4612197875977,33,"AustrianStartups"
"Advertisement",84.4612197875977,33,"AustrianStartups"
"Driving License",71.0214691162109,33,"AustrianStartups"
"Paper",63.814079284668,33,"AustrianStartups"
"Flyer",63.1559562683105,33,"AustrianStartups"
"Head",58.7868118286133,33,"AustrianStartups"
"Orchestra",99.9607696533203,34,"AustrianStartups"
"Room",99.9607696533203,34,"AustrianStartups"
"Indoors",99.9607696533203,34,"AustrianStartups"
"Crowd",99.9607696533203,34,"AustrianStartups"
"Person",99.9607696533203,34,"AustrianStartups"
"Theater",99.9607696533203,34,"AustrianStartups"
"Concert",99.9607696533203,34,"AustrianStartups"
"Musical Instrument",99.9607696533203,34,"AustrianStartups"
"Chandelier",88.3107833862305,34,"AustrianStartups"
"People",68.8171768188477,34,"AustrianStartups"
"Person",98.7973175048828,35,"AustrianStartups"
"Human",98.7973175048828,35,"AustrianStartups"
"Man",97.4115905761719,35,"AustrianStartups"
"Face",95.1267471313477,35,"AustrianStartups"
"Clothing",89.8143692016602,35,"AustrianStartups"
"Apparel",89.8143692016602,35,"AustrianStartups"
"Portrait",72.3773040771484,35,"AustrianStartups"
"Photography",72.3773040771484,35,"AustrianStartups"
"Coat",67.7584915161133,35,"AustrianStartups"
"Jacket",59.1272850036621,35,"AustrianStartups"
"Person",99.7887420654297,36,"AustrianStartups"
"Audience",99.6911849975586,36,"AustrianStartups"
"Crowd",99.6911849975586,36,"AustrianStartups"
"People",81.5135192871094,36,"AustrianStartups"
"Lecture",74.9845123291016,36,"AustrianStartups"
"Speech",74.9845123291016,36,"AustrianStartups"
"Seminar",59.1133499145508,36,"AustrianStartups"
"Indoors",59.1133499145508,36,"AustrianStartups"
"Room",59.1133499145508,36,"AustrianStartups"
"Press Conference",56.3728446960449,36,"AustrianStartups"
"Face",99.9359741210938,37,"AustrianStartups"
"Person",99.9359741210938,37,"AustrianStartups"
"Human",99.9359741210938,37,"AustrianStartups"
"Female",75.3925094604492,37,"AustrianStartups"
"Woman",62.6280517578125,37,"AustrianStartups"
"Portrait",55.8892822265625,37,"AustrianStartups"
"Photography",55.8892822265625,37,"AustrianStartups"
"Photo",55.8892822265625,37,"AustrianStartups"
"Person",99.8676910400391,38,"AustrianStartups"
"Crowd",99.4254531860352,38,"AustrianStartups"
"Room",97.325309753418,38,"AustrianStartups"
"Indoors",97.325309753418,38,"AustrianStartups"
"Interior Design",95.8294906616211,38,"AustrianStartups"
"Audience",88.1903839111328,38,"AustrianStartups"
"People",79.3803253173828,38,"AustrianStartups"
"Theater",72.5502395629883,38,"AustrianStartups"
"Press Conference",71.8124237060547,38,"AustrianStartups"
"Concert",71.5759353637695,38,"AustrianStartups"
"Person",98.9852981567383,39,"AustrianStartups"
"Face",98.5824813842773,39,"AustrianStartups"
"Baseball Cap",85.6959533691406,39,"AustrianStartups"
"Clothing",85.6959533691406,39,"AustrianStartups"
"Electronics",72.8976440429688,39,"AustrianStartups"
"Head",70.5567016601562,39,"AustrianStartups"
"Portrait",68.3999786376953,39,"AustrianStartups"
"Photography",68.3999786376953,39,"AustrianStartups"
"People",63.2997436523438,39,"AustrianStartups"
"Studio",56.3358917236328,39,"AustrianStartups"
"Number",99.9966125488281,4,"AustrianStartups"
"Text",99.9966125488281,4,"AustrianStartups"
"Symbol",99.9966125488281,4,"AustrianStartups"
"Person",99.6213226318359,40,"AustrianStartups"
"Human",99.6213226318359,40,"AustrianStartups"
"Face",67.8668670654297,40,"AustrianStartups"
"Crowd",67.8504028320312,40,"AustrianStartups"
"Advertisement",65.1075973510742,40,"AustrianStartups"
"Poster",64.7109832763672,40,"AustrianStartups"
"Flyer",58.5863227844238,40,"AustrianStartups"
"Brochure",58.5863227844238,40,"AustrianStartups"
"Paper",58.5863227844238,40,"AustrianStartups"
"Person",99.3642196655273,41,"AustrianStartups"
"Human",99.3642196655273,41,"AustrianStartups"
"Face",97.2187652587891,41,"AustrianStartups"
"Hair",60.0610847473145,41,"AustrianStartups"
"Face",99.9870223999023,42,"AustrianStartups"
"Person",99.9870223999023,42,"AustrianStartups"
"Human",99.9870223999023,42,"AustrianStartups"
"Beard",95.0447692871094,42,"AustrianStartups"
"Head",91.5002136230469,42,"AustrianStartups"
"Hair",62.7623596191406,42,"AustrianStartups"
"Person",99.0458679199219,43,"AustrianStartups"
"Human",99.0458679199219,43,"AustrianStartups"
"Face",96.1629638671875,43,"AustrianStartups"
"Head",87.5654602050781,43,"AustrianStartups"
"Electronics",87.3586883544922,43,"AustrianStartups"
"Photography",65.2585296630859,43,"AustrianStartups"
"Photo",65.2585296630859,43,"AustrianStartups"
"Hair",63.0006904602051,43,"AustrianStartups"
"Portrait",58.7852783203125,43,"AustrianStartups"
"Plan",92.7742919921875,44,"AustrianStartups"
"Plot",92.7742919921875,44,"AustrianStartups"
"Diagram",92.7742919921875,44,"AustrianStartups"
"Word",81.7574691772461,44,"AustrianStartups"
"Text",71.0511703491211,44,"AustrianStartups"
"Menu",64.3842391967773,44,"AustrianStartups"
"Number",55.1987037658691,44,"AustrianStartups"
"Symbol",55.1987037658691,44,"AustrianStartups"
"Logo",94.3460922241211,45,"AustrianStartups"
"Trademark",94.3460922241211,45,"AustrianStartups"
"Symbol",94.3460922241211,45,"AustrianStartups"
"Graphics",69.0545349121094,45,"AustrianStartups"
"Art",69.0545349121094,45,"AustrianStartups"
"Text",62.9006958007812,45,"AustrianStartups"
"Face",55.6938781738281,45,"AustrianStartups"
"Window",99.8200302124023,46,"AustrianStartups"
"Porthole",97.495475769043,46,"AustrianStartups"
"Cake",95.0147857666016,47,"AustrianStartups"
"Food",95.0147857666016,47,"AustrianStartups"
"Dessert",95.0147857666016,47,"AustrianStartups"
"Person",94.0452346801758,47,"AustrianStartups"
"Human",94.0452346801758,47,"AustrianStartups"
"Icing",65.6887741088867,47,"AustrianStartups"
"Cream",65.6887741088867,47,"AustrianStartups"
"Creme",65.6887741088867,47,"AustrianStartups"
"Text",60.6780548095703,47,"AustrianStartups"
"Birthday Cake",58.1142616271973,47,"AustrianStartups"
"Person",99.8955535888672,48,"AustrianStartups"
"Audience",99.7213592529297,48,"AustrianStartups"
"Crowd",99.7213592529297,48,"AustrianStartups"
"Classroom",99.5992584228516,48,"AustrianStartups"
"Room",99.5992584228516,48,"AustrianStartups"
"School",99.5992584228516,48,"AustrianStartups"
"Indoors",99.5992584228516,48,"AustrianStartups"
"Lecture",96.853889465332,48,"AustrianStartups"
"Speech",96.853889465332,48,"AustrianStartups"
"Seminar",93.5462265014648,48,"AustrianStartups"
"Text",96.8310775756836,49,"AustrianStartups"
"Business Card",92.5025177001953,49,"AustrianStartups"
"Paper",92.5025177001953,49,"AustrianStartups"
"Sign",60.3860702514648,49,"AustrianStartups"
"Symbol",60.3860702514648,49,"AustrianStartups"
"Person",99.9393463134766,5,"AustrianStartups"
"Street",99.9298858642578,5,"AustrianStartups"
"Urban",99.9298858642578,5,"AustrianStartups"
"City",99.9298858642578,5,"AustrianStartups"
"Road",99.9298858642578,5,"AustrianStartups"
"Building",99.9298858642578,5,"AustrianStartups"
"Pedestrian",99.1863327026367,5,"AustrianStartups"
"Market",98.3403778076172,5,"AustrianStartups"
"Bazaar",97.2546997070312,5,"AustrianStartups"
"Alley",76.1449737548828,5,"AustrianStartups"
"Person",99.8545455932617,50,"AustrianStartups"
"People",90.9437561035156,50,"AustrianStartups"
"Furniture",89.5108184814453,50,"AustrianStartups"
"Table",89.071174621582,50,"AustrianStartups"
"Room",88.4306869506836,50,"AustrianStartups"
"Indoors",88.4306869506836,50,"AustrianStartups"
"Dining Table",80.882438659668,50,"AustrianStartups"
"Crowd",80.1630096435547,50,"AustrianStartups"
"Family",63.2095527648926,50,"AustrianStartups"
"Tabletop",62.9777755737305,50,"AustrianStartups"
"Person",99.8866882324219,51,"AustrianStartups"
"People",98.2397155761719,51,"AustrianStartups"
"Pants",93.8486557006836,51,"AustrianStartups"
"Clothing",93.8486557006836,51,"AustrianStartups"
"Costume",92.5448150634766,51,"AustrianStartups"
"Face",79.111930847168,51,"AustrianStartups"
"Family",69.0599060058594,51,"AustrianStartups"
"Female",68.1802597045898,51,"AustrianStartups"
"Photography",66.73681640625,51,"AustrianStartups"
"Jeans",65.8066635131836,51,"AustrianStartups"
"Person",99.3471221923828,52,"AustrianStartups"
"Furniture",90.8445587158203,52,"AustrianStartups"
"Shelf",89.8489456176758,52,"AustrianStartups"
"Boy",87.126350402832,52,"AustrianStartups"
"Bookcase",82.0959320068359,52,"AustrianStartups"
"Indoors",75.1113510131836,52,"AustrianStartups"
"Room",72.4173202514648,52,"AustrianStartups"
"Reading",63.237419128418,52,"AustrianStartups"
"Library",59.6350212097168,52,"AustrianStartups"
"Book",59.6350212097168,52,"AustrianStartups"
"Person",99.8533477783203,53,"AustrianStartups"
"Human",99.8533477783203,53,"AustrianStartups"
"Audience",98.4685516357422,53,"AustrianStartups"
"Crowd",98.4685516357422,53,"AustrianStartups"
"People",76.8581695556641,53,"AustrianStartups"
"Press Conference",61.8645210266113,53,"AustrianStartups"
"Person",99.5664825439453,54,"AustrianStartups"
"Book",88.5495071411133,54,"AustrianStartups"
"Room",80.9365768432617,54,"AustrianStartups"
"Indoors",80.9365768432617,54,"AustrianStartups"
"Reading",79.7095489501953,54,"AustrianStartups"
"Flyer",71.9380798339844,54,"AustrianStartups"
"Page",67.706901550293,54,"AustrianStartups"
"Furniture",62.4672889709473,54,"AustrianStartups"
"Library",59.9654808044434,54,"AustrianStartups"
"Magazine",59.1517333984375,54,"AustrianStartups"
"Person",98.9027938842773,55,"AustrianStartups"
"Outdoors",81.2907333374023,55,"AustrianStartups"
"Chair",77.2460708618164,55,"AustrianStartups"
"Plant",75.4550552368164,55,"AustrianStartups"
"Crowd",73.2479476928711,55,"AustrianStartups"
"Potted Plant",70.8569259643555,55,"AustrianStartups"
"Vase",70.8569259643555,55,"AustrianStartups"
"People",70.5741119384766,55,"AustrianStartups"
"Clothing",68.1566925048828,55,"AustrianStartups"
"Indoors",66.0485305786133,55,"AustrianStartups"
"Person",99.7845001220703,56,"AustrianStartups"
"Dating",89.838752746582,56,"AustrianStartups"
"Potted Plant",88.6787338256836,56,"AustrianStartups"
"Vase",88.6787338256836,56,"AustrianStartups"
"Jar",88.6787338256836,56,"AustrianStartups"
"Pottery",88.6787338256836,56,"AustrianStartups"
"Plant",88.6787338256836,56,"AustrianStartups"
"Indoors",75.7053756713867,56,"AustrianStartups"
"Room",63.8598556518555,56,"AustrianStartups"
"People",61.9120178222656,56,"AustrianStartups"
"Person",99.8667831420898,57,"AustrianStartups"
"Crowd",99.1248168945312,57,"AustrianStartups"
"Room",98.8720245361328,57,"AustrianStartups"
"Indoors",98.8720245361328,57,"AustrianStartups"
"Pants",83.1067352294922,57,"AustrianStartups"
"Theater",78.3187408447266,57,"AustrianStartups"
"Musical Instrument",74.4994049072266,57,"AustrianStartups"
"People",73.8679122924805,57,"AustrianStartups"
"Concert",73.8432235717773,57,"AustrianStartups"
"Audience",67.5405807495117,57,"AustrianStartups"
"Person",99.7708892822266,58,"AustrianStartups"
"Human",99.7708892822266,58,"AustrianStartups"
"Crowd",97.6287841796875,58,"AustrianStartups"
"Interior Design",96.6748428344727,58,"AustrianStartups"
"Indoors",96.6748428344727,58,"AustrianStartups"
"Press Conference",89.5164184570312,58,"AustrianStartups"
"Room",84.3612823486328,58,"AustrianStartups"
"People",70.3793563842773,58,"AustrianStartups"
"Workshop",57.6808853149414,58,"AustrianStartups"
"Person",99.8187103271484,59,"AustrianStartups"
"Audience",98.0933303833008,59,"AustrianStartups"
"Crowd",98.0933303833008,59,"AustrianStartups"
"Indoors",97.3283920288086,59,"AustrianStartups"
"Classroom",97.1135330200195,59,"AustrianStartups"
"Room",97.1135330200195,59,"AustrianStartups"
"School",97.1135330200195,59,"AustrianStartups"
"People",72.7899627685547,59,"AustrianStartups"
"Lecture",67.5799560546875,59,"AustrianStartups"
"Seminar",60.6373634338379,59,"AustrianStartups"
"Person",99.7793273925781,6,"AustrianStartups"
"Face",98.9471893310547,6,"AustrianStartups"
"Sunglasses",97.6415328979492,6,"AustrianStartups"
"Head",93.229248046875,6,"AustrianStartups"
"Man",73.865592956543,6,"AustrianStartups"
"Advertisement",69.2907943725586,6,"AustrianStartups"
"Poster",69.2125625610352,6,"AustrianStartups"
"Female",66.9591903686523,6,"AustrianStartups"
"Collage",64.1034622192383,6,"AustrianStartups"
"Clothing",62.4490242004395,6,"AustrianStartups"
"Audience",99.5872039794922,60,"AustrianStartups"
"Person",99.5872039794922,60,"AustrianStartups"
"Crowd",99.5872039794922,60,"AustrianStartups"
"Classroom",97.7746963500977,60,"AustrianStartups"
"School",97.7746963500977,60,"AustrianStartups"
"Room",97.7746963500977,60,"AustrianStartups"
"Indoors",97.7746963500977,60,"AustrianStartups"
"Speech",94.0406036376953,60,"AustrianStartups"
"Lecture",93.9111251831055,60,"AustrianStartups"
"Seminar",88.6578826904297,60,"AustrianStartups"
"Person",99.6278686523438,61,"AustrianStartups"
"Human",99.6278686523438,61,"AustrianStartups"
"Crowd",99.1416549682617,61,"AustrianStartups"
"Press Conference",93.6137161254883,61,"AustrianStartups"
"Room",81.1664276123047,61,"AustrianStartups"
"Indoors",81.1664276123047,61,"AustrianStartups"
"Audience",78.5368804931641,61,"AustrianStartups"
"People",69.5929183959961,61,"AustrianStartups"
"Lecture",62.5439567565918,61,"AustrianStartups"
"Speech",62.5439567565918,61,"AustrianStartups"
"Audience",99.8531494140625,62,"AustrianStartups"
"Person",99.8531494140625,62,"AustrianStartups"
"Crowd",99.8531494140625,62,"AustrianStartups"
"Classroom",95.0816268920898,62,"AustrianStartups"
"Room",95.0816268920898,62,"AustrianStartups"
"Indoors",95.0816268920898,62,"AustrianStartups"
"School",95.0816268920898,62,"AustrianStartups"
"Lecture",92.9147720336914,62,"AustrianStartups"
"Speech",92.9147720336914,62,"AustrianStartups"
"Seminar",87.5488586425781,62,"AustrianStartups"
"Person",99.8220901489258,63,"AustrianStartups"
"Crowd",97.687614440918,63,"AustrianStartups"
"Indoors",84.5346450805664,63,"AustrianStartups"
"Press Conference",82.7016220092773,63,"AustrianStartups"
"Room",79.32373046875,63,"AustrianStartups"
"People",57.8465690612793,63,"AustrianStartups"
"Audience",57.2038230895996,63,"AustrianStartups"
"Chair",56.7659149169922,63,"AustrianStartups"
"Furniture",56.7659149169922,63,"AustrianStartups"
"Lobby",56.0410385131836,63,"AustrianStartups"
"Person",99.7890625,64,"AustrianStartups"
"Musician",99.1346817016602,64,"AustrianStartups"
"Musical Instrument",99.1346817016602,64,"AustrianStartups"
"Music Band",96.6023254394531,64,"AustrianStartups"
"Crowd",90.7319869995117,64,"AustrianStartups"
